JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
139,1.07389,1.04175,2.36807,0.37928,0.11696,0.06458,0.00134,0.0342,20.53669,1.67306,40.56648,41.40301,2.5,98.93824
140,1.28687,1.00447,1.03978,0.3597,0.13835,0.06105,0.00142,409.30089,10.52041,1.77803,19.81164,20.70065,2.5,104.68266
141,1.54536,1.09065,2.36693,0.35602,0.1205,0.06822,0.0013,0.0495,23.80498,1.80041,47.16017,48.06038,2.5,110.66495
142,1.1088,0.90892,2.31759,0.31854,0.1395,0.03041,0.00141,0.08477,21.46294,1.73058,42.41533,43.28063,2.5,101.55689
143,1.15237,0.99944,2.27624,0.3937,0.14988,0.04149,0.0014,111.46845,18.29005,1.71014,35.89471,36.74978,2.5,101.88363
144,1.36277,0.96379,2.45932,0.26046,0.12882,0.04038,0.00131,684.69143,2.25989,1.89796,2.64928,3.59826,2.5,102.88508
145,1.51458,0.94731,2.13805,0.39531,0.1073,0.07651,0.00134,0.08889,19.72024,1.73113,38.81472,39.68029,2.5,102.10591
146,1.07458,0.95375,1.83186,0.32855,0.16225,0.03663,0.00138,0.02055,22.17819,1.76135,43.86187,44.74254,2.5,100.20067
147,1.49682,0.98211,1.14598,0.3155,0.13804,0.04513,0.00138,292.43067,11.00451,1.87381,20.70024,21.63714,2.5,102.58858
148,1.40744,1.03279,1.87907,0.33115,0.11866,0.06461,0.0014,1077.8309,7.30151,1.77849,13.17812,14.06736,2.5,120.42125
149,1.48875,0.99744,2.44878,0.31807,0.16604,0.08805,0.00143,0.07492,28.39923,2.22089,56.18768,57.29813,2.5,104.21135
150,1.16095,1.06714,2.38251,0.39279,0.19444,0.07792,0.00142,0.04633,20.67808,1.88325,40.64116,41.58279,2.5,98.4825
151,1.23853,1.01616,1.46536,0.38014,0.16847,0.0447,0.00143,561.91445,3.64274,1.77353,5.63194,6.51871,2.5,104.3655
152,1.16534,1.04091,1.85332,0.3712,0.18626,0.03322,0.00145,0.04348,23.19038,1.77658,45.93431,46.82259,2.5,103.01695
153,1.05374,0.97972,2.03903,0.27675,0.10547,0.06649,0.00133,0.04308,22.28384,1.77176,44.06459,44.95046,2.5,102.04918
154,1.14006,0.90683,2.54226,0.32554,0.13256,0.06048,0.00142,0.14772,21.70083,1.77964,42.85351,43.74333,2.5,100.00139
155,1.35389,0.91244,1.89472,0.31316,0.16884,0.05495,0.0013,0.05707,27.89086,1.95257,55.4348,56.41109,2.5,111.14668
156,0.91912,1.05657,2.54811,0.31737,0.11445,0.03386,0.00136,0.0975,20.05045,1.66221,39.57588,40.40699,2.5,99.15874
157,1.12437,1.03127,2.48505,0.26574,0.18253,0.05922,0.00132,0.16371,21.22533,2.04834,41.59211,42.61628,2.5,100.08632
158,1.39239,0.97757,2.303,0.3492,0.18724,0.03348,0.00137,0.02046,24.45824,1.84748,48.46698,49.39073,2.5,100.75233
159,1.347,1.05175,2.38433,0.26414,0.18632,0.05409,0.0013,0.07693,24.65622,2.14822,48.55502,49.62913,2.5,104.29707
160,1.18221,0.95639,2.3743,0.28209,0.10841,0.03646,0.00131,0.07271,22.12755,1.73651,43.78785,44.65611,2.5,103.07506
161,1.03472,0.95035,2.55953,0.27786,0.18855,0.07061,0.00146,505.26257,5.61886,2.02705,9.4392,10.45273,2.5,104.18684
162,1.32795,1.09294,2.50941,0.36753,0.14586,0.03668,0.0013,0.10911,22.3845,1.7542,44.29173,45.16883,2.5,108.26652
